id,name
GSM11805.CEL.gz,kidney
GSM11814.CEL.gz,kidney
GSM11823.CEL.gz,kidney
GSM11830.CEL.gz,kidney
GSM12067.CEL.gz,kidney
GSM12075.CEL.gz,kidney
GSM12079.CEL.gz,kidney
GSM12098.CEL.gz,kidney
GSM12105.CEL.gz,kidney
GSM12268.CEL.gz,kidney
GSM12270.CEL.gz,kidney
GSM12283.CEL.gz,kidney
GSM12298.CEL.gz,kidney
GSM12300.CEL.gz,kidney
GSM12399.CEL.gz,kidney
GSM12444.CEL.gz,kidney
GSM21203.cel.gz,hippocampus
GSM21204.cel.gz,hippocampus
GSM21205.cel.gz,hippocampus
GSM21206.cel.gz,hippocampus
GSM21207.cel.gz,hippocampus
GSM21208.cel.gz,hippocampus
GSM21209.cel.gz,hippocampus
GSM21210.cel.gz,hippocampus
GSM21212.cel.gz,hippocampus
GSM21213.cel.gz,hippocampus
GSM21214.cel.gz,hippocampus
GSM21215.cel.gz,hippocampus
GSM21216.cel.gz,hippocampus
GSM21217.cel.gz,hippocampus
GSM21218.cel.gz,hippocampus
GSM21219.cel.gz,hippocampus
GSM21220.cel.gz,hippocampus
GSM21221.cel.gz,hippocampus
GSM21222.cel.gz,hippocampus
GSM21223.cel.gz,hippocampus
GSM21224.cel.gz,hippocampus
GSM21225.cel.gz,hippocampus
GSM21226.cel.gz,hippocampus
GSM21227.cel.gz,hippocampus
GSM21228.cel.gz,hippocampus
GSM21229.cel.gz,hippocampus
GSM21230.cel.gz,hippocampus
GSM21231.cel.gz,hippocampus
GSM21232.cel.gz,hippocampus
GSM21233.cel.gz,hippocampus
GSM87058.cel.gz,cerebellum
GSM87064.cel.gz,cerebellum
GSM87065.cel.gz,cerebellum
GSM87066.cel.gz,cerebellum
GSM87071.cel.gz,cerebellum
GSM87072.cel.gz,cerebellum
GSM87073.cel.gz,cerebellum
GSM87074.cel.gz,cerebellum
GSM87075.cel.gz,cerebellum
GSM87085.cel.gz,cerebellum
GSM87086.cel.gz,cerebellum
GSM87087.cel.gz,cerebellum
GSM87088.cel.gz,cerebellum
GSM87089.cel.gz,cerebellum
GSM87090.CEL.gz,cerebellum
GSM87091.cel.gz,cerebellum
GSM87092.cel.gz,cerebellum
GSM87093.cel.gz,cerebellum
GSM87094.cel.gz,cerebellum
GSM87095.cel.gz,cerebellum
GSM87096.cel.gz,cerebellum
GSM87097.cel.gz,cerebellum
GSM87098.cel.gz,cerebellum
GSM87099.cel.gz,cerebellum
GSM87100.cel.gz,cerebellum
GSM87101.cel.gz,cerebellum
GSM87102.cel.gz,cerebellum
GSM146778.CEL.gz,kidney
GSM146779.CEL.gz,kidney
GSM146781.CEL.gz,kidney
GSM146782.CEL.gz,kidney
GSM146783.CEL.gz,kidney
GSM146785.CEL.gz,kidney
GSM146787.CEL.gz,kidney
GSM146788.CEL.gz,kidney
GSM146789.CEL.gz,kidney
GSM146791.CEL.gz,kidney
GSM146793.CEL.gz,kidney
GSM146795.CEL.gz,kidney
GSM146797.CEL.gz,kidney
GSM92240.CEL.gz,colon
GSM92241.CEL.gz,colon
GSM92242.CEL.gz,colon
GSM92243.CEL.gz,colon
GSM92244.CEL.gz,colon
GSM92245.CEL.gz,colon
GSM92247.CEL.gz,colon
GSM92248.CEL.gz,colon
GSM92249.CEL.gz,colon
GSM92250.CEL.gz,colon
GSM92253.CEL.gz,colon
GSM92254.CEL.gz,colon
GSM92255.CEL.gz,colon
GSM92256.CEL.gz,colon
GSM92257.CEL.gz,colon
GSM92258.CEL.gz,colon
GSM92259.CEL.gz,colon
GSM92260.CEL.gz,colon
GSM92261.CEL.gz,colon
GSM92262.CEL.gz,colon
GSM92263.CEL.gz,colon
GSM92264.CEL.gz,colon
GSM92265.CEL.gz,colon
GSM92266.CEL.gz,colon
GSM92267.CEL.gz,colon
GSM92268.CEL.gz,colon
GSM92269.CEL.gz,colon
GSM92270.CEL.gz,colon
GSM92271.CEL.gz,colon
GSM92272.CEL.gz,colon
GSM92273.CEL.gz,colon
GSM92274.CEL.gz,colon
GSM92275.CEL.gz,colon
GSM92276.CEL.gz,colon
GSM35979.cel.gz,kidney
GSM35980.cel.gz,kidney
GSM35981.cel.gz,kidney
GSM35982.cel.gz,liver
GSM35983.cel.gz,liver
GSM35984.cel.gz,liver
GSM35991.cel.gz,kidney
GSM35992.cel.gz,kidney
GSM35993.cel.gz,kidney
GSM35994.cel.gz,liver
GSM35995.cel.gz,liver
GSM35996.cel.gz,liver
GSM36003.cel.gz,kidney
GSM44675.CEL.gz,kidney
GSM44689.CEL.gz,cerebellum
GSM44697.CEL.gz,hippocampus
GSM44702.CEL.gz,liver
GSM181429.CEL.gz,liver
GSM181430.CEL.gz,liver
GSM181431.CEL.gz,liver
GSM181432.CEL.gz,liver
GSM181433.CEL.gz,liver
GSM18917.CEL.gz,cerebellum
GSM18918.CEL.gz,cerebellum
GSM18953.CEL.gz,liver
GSM18954.CEL.gz,liver
GSM18955.CEL.gz,kidney
GSM18956.CEL.gz,kidney
GSM296875.CEL.gz,endometrium
GSM296876.CEL.gz,endometrium
GSM296878.CEL.gz,endometrium
GSM296879.CEL.gz,endometrium
GSM296880.CEL.gz,endometrium
GSM296881.CEL.gz,endometrium
GSM296882.CEL.gz,endometrium
GSM296883.CEL.gz,endometrium
GSM296886.CEL.gz,endometrium
GSM296887.CEL.gz,endometrium
GSM296888.CEL.gz,endometrium
GSM296889.CEL.gz,endometrium
GSM296890.CEL.gz,endometrium
GSM296891.CEL.gz,endometrium
GSM296892.CEL.gz,endometrium
GSM298747.CEL.gz,liver
GSM298748.CEL.gz,liver
GSM298749.CEL.gz,liver
GSM298750.CEL.gz,liver
GSM299110.CEL.gz,liver
GSM299111.CEL.gz,liver
GSM299112.CEL.gz,liver
GSM299113.CEL.gz,liver
GSM299244.CEL.gz,liver
GSM299245.CEL.gz,liver
GSM299246.CEL.gz,liver
GSM299247.CEL.gz,liver
GSM322969.CEL.gz,cerebellum
GSM323054.CEL.gz,cerebellum
GSM323523.CEL.gz,cerebellum
GSM323524.CEL.gz,cerebellum
GSM323527.CEL.gz,cerebellum
GSM323565.CEL.gz,cerebellum
GSM323566.CEL.gz,cerebellum
GSM323567.CEL.gz,cerebellum
GSM246492.CEL.gz,placenta
GSM246493.CEL.gz,placenta
GSM246494.CEL.gz,placenta
GSM307639.CEL.gz,placenta
GSM307640.CEL.gz,placenta
GSM307641.CEL.gz,placenta
